Detected UAV: (x1: 103, y1: 1080, x2: 2042, y2: 1499, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 470, y2: 844, score: 0.30)
Detected UAV: (x1: 103, y1: 1079, x2: 2041, y2: 1500, score: 0.37)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1079, x2: 2041, y2: 1500, score: 0.37)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1079, x2: 2041, y2: 1500, score: 0.38)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1501, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2042, y2: 1501, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1079, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2042, y2: 1501, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
Detected UAV: (x1: 103, y1: 1080, x2: 2041, y2: 1500, score: 0.41)
Detected UAV: (x1: 352, y1: 772, x2: 469, y2: 843, score: 0.30)
